ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
1_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Asian,ONS 5+2,K02000001,7,%,2622
2_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Asian,ONS 5+2,K02000001,5,%,2622
3_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Asian,ONS 5+2,K02000001,3,%,2622
4_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Asian,ONS 5+2,K02000001,2,%,2622
5_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Asian,ONS 5+2,K02000001,2,%,2622
6_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Asian,ONS 5+2,K02000001,5,%,2622
7_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
8_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
9_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Asian,ONS 5+2,K02000001,14,%,2622
10_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Asian,ONS 5+2,K02000001,11,%,2622
11_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Asian,ONS 5+2,K02000001,9,%,2622
12_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Asian,ONS 5+2,K02000001,7,%,2454
13_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Asian,ONS 5+2,K02000001,6,%,2454
14_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Asian,ONS 5+2,K02000001,3,%,2454
15_AsianEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2010,Three-year average,Asian,ONS 5+2,K02000001,2,%,2454
