ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
1_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Black,ONS 5+2,K02000001,5,%,1457
2_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Black,ONS 5+2,K02000001,5,%,1457
3_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Black,ONS 5+2,K02000001,2,%,1457
4_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Black,ONS 5+2,K02000001,1,%,1457
5_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Black,ONS 5+2,K02000001,1,%,1457
6_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Black,ONS 5+2,K02000001,2,%,1457
7_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Black,ONS 5+2,K02000001,30,%,1457
8_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Black,ONS 5+2,K02000001,20,%,1457
9_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,Black,ONS 5+2,K02000001,14,%,1457
10_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,Black,ONS 5+2,K02000001,9,%,1457
11_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,Black,ONS 5+2,K02000001,12,%,1457
12_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,Black,ONS 5+2,K02000001,5,%,1355
13_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,Black,ONS 5+2,K02000001,4,%,1355
14_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,Black,ONS 5+2,K02000001,1,%,1355
15_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2010,Three-year average,Black,ONS 5+2,K02000001,1,%,1355
16_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2010,Three-year average,Black,ONS 5+2,K02000001,1,%,1355
17_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2010,Three-year average,Black,ONS 5+2,K02000001,3,%,1355
18_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2010,Three-year average,Black,ONS 5+2,K02000001,30,%,1355
19_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2010,Three-year average,Black,ONS 5+2,K02000001,19,%,1355
20_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2010,Three-year average,Black,ONS 5+2,K02000001,13,%,1355
21_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2010,Three-year average,Black,ONS 5+2,K02000001,10,%,1355
22_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2010,Three-year average,Black,ONS 5+2,K02000001,12,%,1355
23_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2011,Three-year average,Black,ONS 5+2,K02000001,5,%,1322
24_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2011,Three-year average,Black,ONS 5+2,K02000001,3,%,1322
25_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2011,Three-year average,Black,ONS 5+2,K02000001,2,%,1322
26_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2011,Three-year average,Black,ONS 5+2,K02000001,1,%,1322
27_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2011,Three-year average,Black,ONS 5+2,K02000001,-,%,1322
28_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2011,Three-year average,Black,ONS 5+2,K02000001,2,%,1322
29_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2011,Three-year average,Black,ONS 5+2,K02000001,28,%,1322
30_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2011,Three-year average,Black,ONS 5+2,K02000001,21,%,1322
31_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2011,Three-year average,Black,ONS 5+2,K02000001,15,%,1322
32_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2011,Three-year average,Black,ONS 5+2,K02000001,9,%,1322
33_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2011,Three-year average,Black,ONS 5+2,K02000001,12,%,1322
34_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2012,Three-year average,Black,ONS 5+2,K02000001,7,%,1323
35_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2012,Three-year average,Black,ONS 5+2,K02000001,3,%,1323
36_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2012,Three-year average,Black,ONS 5+2,K02000001,2,%,1323
37_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2012,Three-year average,Black,ONS 5+2,K02000001,1,%,1323
38_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2012,Three-year average,Black,ONS 5+2,K02000001,-,%,1323
39_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2012,Three-year average,Black,ONS 5+2,K02000001,2,%,1323
40_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2012,Three-year average,Black,ONS 5+2,K02000001,25,%,1323
41_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2012,Three-year average,Black,ONS 5+2,K02000001,22,%,1323
42_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2012,Three-year average,Black,ONS 5+2,K02000001,17,%,1323
43_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2012,Three-year average,Black,ONS 5+2,K02000001,10,%,1323
44_blackEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2012,Three-year average,Black,ONS 5+2,K02000001,11,%,1323
45_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2013,Three-year average,Black,ONS 5+2,K02000001,6,%,1352
46_blackEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2013,Three-year average,Black,ONS 5+2,K02000001,4,%,1352
