ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
1_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,White,ONS 5+2,K02000001,7,%,66117
2_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,White,ONS 5+2,K02000001,4,%,66117
3_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,White,ONS 5+2,K02000001,3,%,66117
4_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,White,ONS 5+2,K02000001,2,%,66117
5_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White,ONS 5+2,K02000001,1,%,66117
6_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White,ONS 5+2,K02000001,4,%,66117
7_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White,ONS 5+2,K02000001,27,%,66117
8_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,White,ONS 5+2,K02000001,19,%,66117
9_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2009,Three-year average,White,ONS 5+2,K02000001,14,%,66117
10_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2009,Three-year average,White,ONS 5+2,K02000001,10,%,66117
11_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2009,Three-year average,White,ONS 5+2,K02000001,9,%,66117
12_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2010,Three-year average,White,ONS 5+2,K02000001,7,%,61420
13_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2010,Three-year average,White,ONS 5+2,K02000001,4,%,61420
14_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2010,Three-year average,White,ONS 5+2,K02000001,3,%,61420
15_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2010,Three-year average,White,ONS 5+2,K02000001,2,%,61420
16_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2010,Three-year average,White,ONS 5+2,K02000001,1,%,61420
17_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2010,Three-year average,White,ONS 5+2,K02000001,4,%,61420
18_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2010,Three-year average,White,ONS 5+2,K02000001,26,%,61420
19_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2010,Three-year average,White,ONS 5+2,K02000001,19,%,61420
20_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2010,Three-year average,White,ONS 5+2,K02000001,14,%,61420
21_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2010,Three-year average,White,ONS 5+2,K02000001,10,%,61420
22_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2010,Three-year average,White,ONS 5+2,K02000001,9,%,61420
23_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2011,Three-year average,White,ONS 5+2,K02000001,7,%,56608
24_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2011,Three-year average,White,ONS 5+2,K02000001,5,%,56608
25_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2011,Three-year average,White,ONS 5+2,K02000001,3,%,56608
26_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2011,Three-year average,White,ONS 5+2,K02000001,2,%,56608
27_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2011,Three-year average,White,ONS 5+2,K02000001,1,%,56608
28_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2011,Three-year average,White,ONS 5+2,K02000001,4,%,56608
29_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2011,Three-year average,White,ONS 5+2,K02000001,25,%,56608
30_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2011,Three-year average,White,ONS 5+2,K02000001,19,%,56608
31_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2011,Three-year average,White,ONS 5+2,K02000001,14,%,56608
32_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2011,Three-year average,White,ONS 5+2,K02000001,10,%,56608
33_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2011,Three-year average,White,ONS 5+2,K02000001,8,%,56608
34_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2012,Three-year average,White,ONS 5+2,K02000001,7,%,55400
35_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2012,Three-year average,White,ONS 5+2,K02000001,5,%,55400
36_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2012,Three-year average,White,ONS 5+2,K02000001,3,%,55400
37_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2012,Three-year average,White,ONS 5+2,K02000001,2,%,55400
38_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2012,Three-year average,White,ONS 5+2,K02000001,2,%,55400
39_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2012,Three-year average,White,ONS 5+2,K02000001,5,%,55400
40_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2012,Three-year average,White,ONS 5+2,K02000001,25,%,55400
41_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2012,Three-year average,White,ONS 5+2,K02000001,19,%,55400
42_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 600 or more, but less than GBP 800",2012,Three-year average,White,ONS 5+2,K02000001,14,%,55400
43_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 800 or more, but less than GBP 1,000",2012,Three-year average,White,ONS 5+2,K02000001,10,%,55400
44_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,Less than GBP 200,2012,Three-year average,White,ONS 5+2,K02000001,8,%,55400
45_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2013,Three-year average,White,ONS 5+2,K02000001,7,%,54399
46_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2013,Three-year average,White,ONS 5+2,K02000001,5,%,54399
47_whiteEthnicity,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2013,Three-year average,White,ONS 5+2,K02000001,3,%,54399
