ID,Measure,Income ,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Value,Value_type,Denominator
1_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,All,ONS 5+2,K02000001,7,%,71324
2_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Asian other,ONS 5+2,K02000001,7,%,420
3_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Asian,ONS 5+2,K02000001,7,%,2622
4_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,4,%,221
5_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Black,ONS 5+2,K02000001,5,%,1457
6_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Chinese,ONS 5+2,K02000001,5,%,236
7_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Indian,ONS 5+2,K02000001,9,%,1127
8_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Mixed,ONS 5+2,K02000001,6,%,531
9_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Other,ONS 5+2,K02000001,6,%,597
10_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,Pakistani,ONS 5+2,K02000001,4,%,618
11_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,White,ONS 5+2,K02000001,7,%,66117
12_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,White British,ONS 5+2,K02000001,7,%,63385
13_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,000 or more, but less than GBP 1,200",2009,Three-year average,White other,ONS 5+2,K02000001,7,%,2732
14_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,All,ONS 5+2,K02000001,4,%,71324
15_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Asian other,ONS 5+2,K02000001,5,%,420
16_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Asian,ONS 5+2,K02000001,5,%,2622
17_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,2,%,221
18_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Black,ONS 5+2,K02000001,5,%,1457
19_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Chinese,ONS 5+2,K02000001,4,%,236
20_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Indian,ONS 5+2,K02000001,6,%,1127
21_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Mixed,ONS 5+2,K02000001,4,%,531
22_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Other,ONS 5+2,K02000001,4,%,597
23_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,Pakistani,ONS 5+2,K02000001,3,%,618
24_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,White,ONS 5+2,K02000001,4,%,66117
25_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,White British,ONS 5+2,K02000001,4,%,63385
26_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,200 or more, but less than GBP 1,400",2009,Three-year average,White other,ONS 5+2,K02000001,5,%,2732
27_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,All,ONS 5+2,K02000001,3,%,71324
28_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Asian other,ONS 5+2,K02000001,4,%,420
29_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Asian,ONS 5+2,K02000001,3,%,2622
30_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,2,%,221
31_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Black,ONS 5+2,K02000001,2,%,1457
32_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Chinese,ONS 5+2,K02000001,6,%,236
33_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Indian,ONS 5+2,K02000001,4,%,1127
34_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Mixed,ONS 5+2,K02000001,3,%,531
35_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Other,ONS 5+2,K02000001,2,%,597
36_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,Pakistani,ONS 5+2,K02000001,2,%,618
37_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,White,ONS 5+2,K02000001,3,%,66117
38_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,White British,ONS 5+2,K02000001,3,%,63385
39_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,400 or more, but less than GBP 1,600",2009,Three-year average,White other,ONS 5+2,K02000001,4,%,2732
40_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,All,ONS 5+2,K02000001,2,%,71324
41_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Asian other,ONS 5+2,K02000001,2,%,420
42_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Asian,ONS 5+2,K02000001,2,%,2622
43_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,-,%,221
44_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Black,ONS 5+2,K02000001,1,%,1457
45_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Chinese,ONS 5+2,K02000001,3,%,236
46_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Indian,ONS 5+2,K02000001,3,%,1127
47_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Mixed,ONS 5+2,K02000001,2,%,531
48_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Other,ONS 5+2,K02000001,1,%,597
49_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,Pakistani,ONS 5+2,K02000001,1,%,618
50_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,White,ONS 5+2,K02000001,2,%,66117
51_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,White British,ONS 5+2,K02000001,2,%,63385
52_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,600 or more, but less than GBP 1,800",2009,Three-year average,White other,ONS 5+2,K02000001,2,%,2732
53_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,All,ONS 5+2,K02000001,1,%,71324
54_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Asian other,ONS 5+2,K02000001,1,%,420
55_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Asian,ONS 5+2,K02000001,2,%,2622
56_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,-,%,221
57_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Black,ONS 5+2,K02000001,1,%,1457
58_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Chinese,ONS 5+2,K02000001,2,%,236
59_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Indian,ONS 5+2,K02000001,3,%,1127
60_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Mixed,ONS 5+2,K02000001,1,%,531
61_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Other,ONS 5+2,K02000001,2,%,597
62_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,Pakistani,ONS 5+2,K02000001,-,%,618
63_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White,ONS 5+2,K02000001,1,%,66117
64_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White British,ONS 5+2,K02000001,1,%,63385
65_household,Average weekly household income by ethnic group of the head of the household,"GBP 1,800 or more, but less than GBP 2,000",2009,Three-year average,White other,ONS 5+2,K02000001,2,%,2732
66_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,All,ONS 5+2,K02000001,4,%,71324
67_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Asian other,ONS 5+2,K02000001,5,%,420
68_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Asian,ONS 5+2,K02000001,5,%,2622
69_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,2,%,221
70_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Black,ONS 5+2,K02000001,2,%,1457
71_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Chinese,ONS 5+2,K02000001,3,%,236
72_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Indian,ONS 5+2,K02000001,7,%,1127
73_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Mixed,ONS 5+2,K02000001,3,%,531
74_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Other,ONS 5+2,K02000001,4,%,597
75_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,Pakistani,ONS 5+2,K02000001,4,%,618
76_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White,ONS 5+2,K02000001,4,%,66117
77_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White British,ONS 5+2,K02000001,4,%,63385
78_household,Average weekly household income by ethnic group of the head of the household,"GBP 2,000 or more",2009,Three-year average,White other,ONS 5+2,K02000001,7,%,2732
79_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,All,ONS 5+2,K02000001,26,%,71324
80_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Asian other,ONS 5+2,K02000001,19,%,420
81_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
82_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,24,%,221
83_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Black,ONS 5+2,K02000001,30,%,1457
84_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Chinese,ONS 5+2,K02000001,15,%,236
85_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Indian,ONS 5+2,K02000001,19,%,1127
86_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Mixed,ONS 5+2,K02000001,27,%,531
87_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Other,ONS 5+2,K02000001,23,%,597
88_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,Pakistani,ONS 5+2,K02000001,28,%,618
89_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White,ONS 5+2,K02000001,27,%,66117
90_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White British,ONS 5+2,K02000001,27,%,63385
91_household,Average weekly household income by ethnic group of the head of the household,"GBP 200 or more, but less than GBP 400",2009,Three-year average,White other,ONS 5+2,K02000001,22,%,2732
92_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,All,ONS 5+2,K02000001,19,%,71324
93_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Asian other,ONS 5+2,K02000001,20,%,420
94_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Asian,ONS 5+2,K02000001,21,%,2622
95_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Bangladeshi,ONS 5+2,K02000001,29,%,221
96_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Black,ONS 5+2,K02000001,20,%,1457
97_household,Average weekly household income by ethnic group of the head of the household,"GBP 400 or more, but less than GBP 600",2009,Three-year average,Chinese,ONS 5+2,K02000001,19,%,236
