ID,Measure,Measure_type,Ethnicity,Ethnicity_type,Time,Time_Type,Region,Value,confidence_interval,Numerator,denominator,samp_size
13_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,All,4.8,0.1,1379000,28979100,404916
28_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,East Midlands,4.3,0.2,91200,2145200,32232
43_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,East of England,3.7,0.2,103600,2830500,37007
58_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,London,7.2,0.3,273100,3772400,23187
72_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,North East,5.8,0.3,69000,1186700,26776
87_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,North West,4.7,0.2,152900,3280000,48512
102_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,Scotland,5.3,0.2,137100,2567100,42765
117_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,South East,3.7,0.2,156700,4230400,54471
132_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,South West,3.4,0.2,85200,2521300,41607
147_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,Wales,4.7,0.2,65300,1376300,36909
162_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,West Midlands,5.2,0.2,133900,2595100,33916
176_unemployment_region,Unemployed,Percentage of individuals unemployed,All,All,2004,year,Yorkshire and The Humber,4.5,0.2,111100,2474200,27534
190_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,All,9.4,0.8,114400,1216900,12007
199_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,East Midlands,7.3,2.4,6800,92300,1158
207_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,East of England,6,2.4,4100,69000,911
221_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,London,9.6,1.6,46300,483700,3100
227_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,North East,9.5,4.7,1900,20200,371
237_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,North West,9.6,2.3,9500,98800,1516
243_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,Scotland,10.2,5.1,3100,30000,335
256_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,South East,6.3,1.8,8100,128900,1714
261_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,South West,2.5,2.7,700,28000,329
265_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,Wales,10.7,6,1500,14100,252
277_unemployment_region,Unemployed,Percentage of individuals unemployed,Asian,ONS 2011 5+1,2004,year,West Midlands,14.1,2.8,22100,156400,1457
